block_idx,correct_rejection,design_id,design_name,false_alarm,hit,is_correct,is_target,isi_duration,letter,miss,mode,n_level,n_level_label,n_trials_in_block,participant,responded,rest_duration,rt,run_type,session,stim_duration,stim_onset,task_time,trial_idx,trigger_time,wall_timestamp,zero_back_target
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,487.2293,491.2296,4,2026-03-18_12:40:26.103193,12:48:37.332572,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,492.23,496.2299,5,2026-03-18_12:40:26.103193,12:48:42.332934,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,497.2293,501.2295,6,2026-03-18_12:40:26.103193,12:48:47.332525,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,502.2299,506.2301,7,2026-03-18_12:40:26.103193,12:48:52.333131,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,507.2295,511.2299,8,2026-03-18_12:40:26.103193,12:48:57.332901,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,512.2291,516.2291,9,2026-03-18_12:40:26.103193,12:49:02.332132,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,W,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,517.2297,522.2301,10,2026-03-18_12:40:26.103193,12:49:08.333169,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,V,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,523.2297,527.2301,11,2026-03-18_12:40:26.103193,12:49:13.333078,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,528.2296,532.2301,12,2026-03-18_12:40:26.103193,12:49:18.333146,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,533.2299,538.2302,13,2026-03-18_12:40:26.103193,12:49:24.333189,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,539.23,543.2295,14,2026-03-18_12:40:26.103193,12:49:29.332490,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,Z,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,544.23,548.2296,15,2026-03-18_12:40:26.103193,12:49:34.332669,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,549.2301,553.2296,16,2026-03-18_12:40:26.103193,12:49:39.332586,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,S,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,554.23,558.2301,17,2026-03-18_12:40:26.103193,12:49:44.333142,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,559.2297,564.2301,18,2026-03-18_12:40:26.103193,12:49:50.333086,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,565.2296,570.23,19,2026-03-18_12:40:26.103193,12:49:56.333026,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,B,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,571.2295,576.2299,20,2026-03-18_12:40:26.103193,12:50:02.332945,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,577.2295,582.2299,21,2026-03-18_12:40:26.103193,12:50:08.332962,T
3,0,1,0 vs 2-back (standard ~8min),0,0,0,1,2.0,T,1,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,583.2295,588.2291,22,2026-03-18_12:40:26.103193,12:50:14.332141,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,R,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,589.2297,594.23,23,2026-03-18_12:40:26.103193,12:50:20.332985,T
3,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,K,0,pc,0,0-back,25,zfeqzef,0,12.0,-1,base,01,0.5,595.2294,599.2297,24,2026-03-18_12:40:26.103193,12:50:25.332767,T
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,P,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,622.2295,626.23,0,2026-03-18_12:40:26.103193,12:50:52.332998,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,627.2295,631.2299,1,2026-03-18_12:40:26.103193,12:50:57.332879,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,N,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,632.2294,636.2297,2,2026-03-18_12:40:26.103193,12:51:02.332690,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,M,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,637.2293,641.2299,3,2026-03-18_12:40:26.103193,12:51:07.332947,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,642.2295,646.23,4,2026-03-18_12:40:26.103193,12:51:12.333004,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,J,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,647.2295,652.2298,5,2026-03-18_12:40:26.103193,12:51:18.332794,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,V,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,653.2295,657.2299,6,2026-03-18_12:40:26.103193,12:51:23.332949,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,H,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,658.2295,662.2304,7,2026-03-18_12:40:26.103193,12:51:28.333378,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,D,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,663.2298,668.23,8,2026-03-18_12:40:26.103193,12:51:34.333029,
4,1,1,0 vs 2-back (standard ~8min),0,0,1,0,2.0,F,0,pc,2,2-back,25,zfeqzef,0,12.0,-1,base,01,0.5,669.2296,673.2301,9,2026-03-18_12:40:26.103193,12:51:39.333164,
